,ID,Label,,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range
,ID,A rdfs:label,,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,CLASS_TYPE,CI,CI,CI,CI,CI,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE
,,,,,,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,,,
402,http://purl.org/pan-science/PaNET/PaNET00402,obtain electronic ground state properties,,,,,,owl:Class,,,,,,,,,,obtain_electronic_ground_state_properties,,,,,,,,
403,http://purl.org/pan-science/PaNET/PaNET00403,obtain dynamics,,,,,,owl:Class,,,,,,,,,,obtain_dynamics,,,,,,,,
404,http://purl.org/pan-science/PaNET/PaNET00404,therapy,,,,,,owl:Class,,,,,,,,,,therapy_purpose,,,,,,,,
405,http://purl.org/pan-science/PaNET/PaNET00405,drug fragment binding,,,,,,owl:Class,,,,,,,,,,drug_fragment_binding,,,,,,,,
406,http://purl.org/pan-science/PaNET/PaNET00406,obtain internal field,,,,,,owl:Class,,,,,,,,,,obtain_internal_field,,,,,,,,
407,http://purl.org/pan-science/PaNET/PaNET00407,characterize excitations,,,,,,owl:Class,,,,,,,,,,characterize_excitations,,,,,,,,
408,http://purl.org/pan-science/PaNET/PaNET00408,manufacturing technique,,,,,,owl:Class,,,,,,,,,,manufacturing_technique,,,,,,,,
409,http://purl.org/pan-science/PaNET/PaNET00409,testing,,,,,,owl:Class,,,,,,,,,,testing_purpose,,,,,,,,
410,http://purl.org/pan-science/PaNET/PaNET00410,medical application,,,,,,owl:Class,,,,,,,,,,medical_application,,,,,,,,
411,http://purl.org/pan-science/PaNET/PaNET00411,chiral determination,,,,,,owl:Class,,,,,,,,,,chiral_determination,,,,,,,,
